Date,Open,High,Low,Close,Adj Close,Volume
4/5/2021,403.459991,406.940002,403.380005,406.359985,403.741425,91684800
4/6/2021,405.76001,407.23999,405.399994,406.119995,403.502991,62021000
4/7/2021,405.940002,406.959991,405.450012,406.589996,403.96994,55836300
4/8/2021,407.929993,408.579987,406.929993,408.519989,405.887512,57863100
4/9/2021,408.390015,411.670013,408.26001,411.48999,408.838379,61104600
4/12/2021,410.850006,411.929993,410.200012,411.640015,408.987427,56704900
4/13/2021,411.529999,413.529999,411.119995,412.859985,410.199524,56551000
4/14/2021,412.829987,413.959991,410.869995,411.450012,408.798645,61659900
4/15/2021,413.73999,416.160004,413.690002,415.869995,413.190155,60229800
4/16/2021,417.25,417.910004,415.730011,417.26001,414.571198,82037300
4/19/2021,416.26001,416.73999,413.790009,415.209991,412.534393,78498500
4/20/2021,413.910004,415.089996,410.589996,412.170013,409.514008,81851800
4/21/2021,411.51001,416.290009,411.359985,416.070007,413.388855,66793000
4/22/2021,415.890015,416.779999,411.130005,412.269989,409.613373,97582800
4/23/2021,412.869995,418.25,412.790009,416.73999,414.054535,73209200
4/26/2021,417.440002,418.220001,416.809998,417.609985,414.918945,52182400
4/27/2021,417.929993,418.140015,416.299988,417.519989,414.829529,51303100
4/28/2021,417.809998,419.01001,416.899994,417.399994,414.710297,51238900
4/29/2021,420.320007,420.720001,416.440002,420.059998,417.353149,78544300
4/30/2021,417.630005,418.540009,416.339996,417.299988,414.610931,85527000
5/3/2021,419.429993,419.839996,417.670013,418.200012,415.505157,68128300
5/4/2021,416.070007,416.600006,411.670013,415.619995,412.941772,101591200
5/5/2021,417.380005,417.630005,415.149994,415.75,413.070953,60162200
5/6/2021,415.829987,419.209991,413.679993,419.070007,416.369537,74321400
5/7/2021,419.890015,422.820007,419.160004,422.119995,419.399872,67733800
5/10/2021,422.5,422.73999,417.809998,417.940002,415.246826,81852400
5/11/2021,413.100006,415.269989,410.059998,414.209991,411.540833,116888000
5/12/2021,411.230011,412.589996,404,405.410004,402.797577,134811000
5/13/2021,407.070007,412.350006,407.019989,410.279999,407.636169,106394000
5/14/2021,413.209991,417.48999,413.179993,416.579987,413.895569,82201600
5/17/2021,415.390015,416.390015,413.359985,415.519989,412.842407,65129200
5/18/2021,415.799988,416.059998,411.769989,411.940002,409.285492,59810200
5/19/2021,406.920013,411.049988,405.329987,410.859985,408.212433,106467100
5/20/2021,411.799988,416.630005,411.670013,415.279999,412.603973,78022200
5/21/2021,416.869995,418.200012,414.450012,414.940002,412.266144,76578700
5/24/2021,417.339996,420.320007,417.079987,419.170013,416.468903,51376700
5/25/2021,420.329987,420.709991,417.619995,418.23999,415.544891,57451400
5/26/2021,418.869995,419.609985,417.76001,419.070007,416.369537,43088600
5/27/2021,420.170013,420.720001,418.98999,419.290009,416.588104,56707700
5/28/2021,420.970001,421.25,419.790009,420.040009,417.333282,58520200
6/1/2021,422.570007,422.720001,419.200012,419.670013,416.965698,54216600
6/2/2021,420.369995,421.230011,419.290009,420.329987,417.621399,49097100
6/3/2021,417.850006,419.98999,416.279999,418.769989,416.071472,58138800
6/4/2021,420.75,422.920013,418.839996,422.600006,419.876801,55938800
6/7/2021,422.589996,422.779999,421.190002,422.190002,419.469452,51555000
6/8/2021,423.109985,423.209991,420.320007,422.279999,419.558868,47134300
6/9/2021,423.179993,423.26001,421.410004,421.649994,418.932892,48436300
6/10/2021,422.959991,424.630005,421.549988,423.609985,420.88028,51020100
6/11/2021,424.200012,424.429993,422.820007,424.309998,421.575775,45570800
6/14/2021,424.429993,425.369995,423.100006,425.26001,422.519653,42358500
6/15/2021,425.420013,425.459991,423.540009,424.480011,421.74469,51508500
6/16/2021,424.630005,424.869995,419.920013,422.109985,419.389923,80386100
6/17/2021,421.670013,423.019989,419.320007,421.970001,419.250854,90949700
6/18/2021,417.089996,417.829987,414.700012,414.920013,413.595001,118676300
6/21/2021,416.799988,421.059998,415.929993,420.859985,419.515991,72822000
6/22/2021,420.850006,424,420.079987,423.109985,421.75882,57700300
6/23/2021,423.190002,424.049988,422.51001,422.600006,421.250458,49445400
6/24/2021,424.890015,425.549988,424.619995,425.100006,423.742462,45110300
6/25/2021,425.899994,427.089996,425.549988,426.609985,425.24762,58129500
6/28/2021,427.170013,427.649994,425.890015,427.470001,426.104889,53159600
6/29/2021,427.880005,428.559998,427.130005,427.700012,426.334167,35970500
6/30/2021,427.209991,428.779999,427.179993,428.059998,426.693024,64827900
7/1/2021,428.869995,430.600006,428.799988,430.429993,429.05545,53441000
7/2/2021,431.670013,434.100006,430.519989,433.720001,432.33493,57697700
7/6/2021,433.779999,434.01001,430.01001,432.929993,431.547455,68710400
7/7/2021,433.660004,434.76001,431.51001,434.459991,433.072571,63549500
7/8/2021,428.779999,431.730011,427.519989,430.920013,429.543884,97595200
